Date,TSLA,MARA,PLTR,NIO,LU,AFRM,PLUG,F,NVDA,RIVN,LCID,AMZN,SOFI,AAL,RIOT,BBD,AAPL,GOLD,BAC,AMD,PDD,WBD,LYFT,PCG,PFE
2018-10-19,17.333332061767578,2.5199999809265137,,7.320000171661377,,,1.940000057220459,8.5,57.29249954223633,,,88.20149993896484,,32.040000915527344,2.4800000190734863,7.324999809265137,54.82749938964844,13.180000305175781,28.31999969482422,23.65999984741211,18.68000030517578,33.400001525878906,,48.849998474121094,42.220115661621094
2018-10-22,17.39666748046875,2.5999999046325684,,7.03000020980835,,,1.9199999570846558,8.40999984741211,57.80500030517578,,,89.46499633789062,,32.15999984741211,2.390000104904175,7.466667175292969,55.162498474121094,13.09000015258789,27.3799991607666,25.030000686645508,19.950000762939453,33.380001068115234,,47.779998779296875,42.09677505493164
2018-10-23,19.609333038330078,2.5199999809265137,,6.809999942779541,,,1.8700000047683716,8.59000015258789,55.26499938964844,,,88.43499755859375,,32.380001068115234,2.4000000953674316,7.491666793823242,55.682498931884766,13.34000015258789,27.020000457763672,25.09000015258789,18.510000228881836,32.779998779296875,,47.290000915527344,41.840606689453125
2018-10-24,19.233333587646484,2.4800000190734863,,6.170000076293945,,,1.8600000143051147,8.180000305175781,49.852500915527344,,,83.20999908447266,,30.34000015258789,2.369999885559082,7.216667175292969,53.772499084472656,13.109999656677246,26.190000534057617,22.790000915527344,17.31999969482422,29.81999969482422,,47.2400016784668,40.30360412597656
2018-10-25,20.99066734313965,2.559999942779541,,6.449999809265137,,,1.850000023841858,8.989999771118164,51.959999084472656,,,89.1084976196289,,32.369998931884766,2.4200000762939453,7.516666889190674,54.95000076293945,12.569999694824219,26.59000015258789,19.270000457763672,18.559999465942383,30.940000534057617,,47.369998931884766,41.18595886230469
2018-10-26,22.059999465942383,2.640000104904175,,6.349999904632568,,,1.8300000429153442,8.979999542236328,49.5724983215332,,,82.1405029296875,,32.459999084472656,2.5199999809265137,7.7083330154418945,54.07500076293945,12.850000381469727,26.389999389648438,17.6299991607666,18.200000762939453,30.1299991607666,,46.290000915527344,40.417457580566406
2018-10-29,22.323333740234375,2.319999933242798,,6.190000057220459,,,1.7999999523162842,9.279999732971191,46.404998779296875,,,76.94400024414062,,32.599998474121094,2.4100000858306885,7.449999809265137,53.060001373291016,12.680000305175781,26.610000610351562,16.850000381469727,17.3700008392334,30.360000610351562,,46.779998779296875,41.01517868041992
2018-10-30,21.99333381652832,2.359999895095825,,5.949999809265137,,,1.840000033378601,9.460000038146973,50.75,,,76.52100372314453,,34.65999984741211,2.2799999713897705,7.8333330154418945,53.32500076293945,12.710000038146973,26.780000686645508,17.200000762939453,17.200000762939453,31.25,,46.93000030517578,40.69260025024414
2018-10-31,22.488000869750977,2.359999895095825,,5.900000095367432,,,1.850000023841858,9.550000190734863,52.70750045776367,,,79.90049743652344,,35.08000183105469,2.359999895095825,7.641666889190674,54.71500015258789,12.550000190734863,27.5,18.209999084472656,17.649999618530273,32.38999938964844,,46.810001373291016,40.85388946533203
2018-11-01,22.95199966430664,2.559999942779541,,6.619999885559082,,,1.8899999856948853,9.289999961853027,54.52750015258789,,,83.27649688720703,,36.369998931884766,2.559999942779541,8.133333206176758,55.55500030517578,13.34000015258789,27.809999465942383,20.219999313354492,20.34000015258789,33.04999923706055,,47.18000030517578,41.43263626098633
2018-11-02,23.0939998626709,2.640000104904175,,6.489999771118164,,,1.899999976158142,9.380000114440918,53.72999954223633,,,83.27649688720703,,36.33000183105469,2.5399999618530273,8.216667175292969,51.869998931884766,13.170000076293945,27.889999389648438,20.229999542236328,20.3700008392334,32.310001373291016,,47.439998626708984,40.73054885864258
2018-11-05,22.760000228881836,2.9200000762939453,,6.679999828338623,,,1.9199999570846558,9.529999732971191,52.942501068115234,,,81.38999938964844,,35.720001220703125,2.509999990463257,8.241666793823242,50.397499084472656,13.210000038146973,28.059999465942383,19.899999618530273,20.049999237060547,33.20000076293945,,48.709999084472656,41.290321350097656
2018-11-06,22.737333297729492,3.240000009536743,,6.400000095367432,,,1.909999966621399,9.539999961853027,52.76499938964844,,,82.1405029296875,,35.16999816894531,2.950000047683716,8.125,50.942501068115234,13.140000343322754,28.209999084472656,20.68000030517578,19.639999389648438,33.290000915527344,,48.58000183105469,40.806453704833984
2018-11-07,23.21066665649414,3.4800000190734863,,6.739999771118164,,,1.9299999475479126,9.600000381469727,53.4474983215332,,,87.77449798583984,,36.970001220703125,2.9000000953674316,8.008333206176758,52.48749923706055,12.979999542236328,28.540000915527344,21.84000015258789,20.719999313354492,33.08000183105469,,48.79999923706055,42.12523651123047
2018-11-08,23.426666259765625,3.0399999618530273,,6.690000057220459,,,1.940000057220459,9.460000038146973,51.497501373291016,,,87.74549865722656,,36.86000061035156,2.569999933242798,7.8333330154418945,52.122501373291016,13.100000381469727,28.8700008392334,21.200000762939453,19.280000686645508,33.79999923706055,,47.79999923706055,41.603416442871094
