,Date,Ticker
7,2020-08-01,INTC
8,2020-11-01,INTC
9,2021-02-01,INTC
10,2021-05-01,INTC
11,2021-08-01,INTC
12,2021-11-01,INTC
13,2022-02-01,INTC
14,2022-05-01,INTC
15,2022-08-01,INTC
16,2022-11-01,INTC
17,2023-02-01,INTC
18,2023-05-01,INTC
19,2023-08-01,INTC
20,2023-11-01,INTC
0,2021-12-01,NU
1,2022-03-01,NU
2,2022-06-01,NU
3,2022-09-01,NU
4,2022-12-01,NU
5,2023-03-01,NU
6,2023-06-01,NU
7,2023-09-01,NU
8,2023-11-14,NU
0,2018-11-01,GOOGL
1,2019-02-01,GOOGL
2,2019-05-01,GOOGL
3,2019-08-01,GOOGL
4,2019-11-01,GOOGL
5,2020-02-01,GOOGL
6,2020-05-01,GOOGL
7,2020-08-01,GOOGL
8,2020-11-01,GOOGL
9,2021-02-01,GOOGL
10,2021-05-01,GOOGL
11,2021-08-01,GOOGL
12,2021-11-01,GOOGL
13,2022-02-01,GOOGL
14,2022-05-01,GOOGL
15,2022-08-01,GOOGL
16,2022-11-01,GOOGL
17,2023-02-01,GOOGL
18,2023-05-01,GOOGL
19,2023-08-01,GOOGL
20,2023-11-01,GOOGL
0,2021-04-01,DNA
1,2021-07-01,DNA
2,2021-10-01,DNA
3,2022-01-01,DNA
4,2022-04-01,DNA
5,2022-07-01,DNA
6,2022-10-01,DNA
7,2023-01-01,DNA
8,2023-04-01,DNA
9,2023-07-01,DNA
10,2023-10-01,DNA
0,2020-09-01,LCID
1,2020-12-01,LCID
2,2021-03-01,LCID
3,2021-06-01,LCID
4,2021-09-01,LCID
5,2021-12-01,LCID
6,2022-03-01,LCID
7,2022-06-01,LCID
8,2022-09-01,LCID
9,2022-12-01,LCID
10,2023-03-01,LCID
11,2023-06-01,LCID
12,2023-09-01,LCID
13,2023-11-14,LCID
0,2018-12-01,TME
1,2019-03-01,TME
2,2019-06-01,TME
3,2019-09-01,TME
4,2019-12-01,TME
5,2020-03-01,TME
6,2020-06-01,TME
7,2020-09-01,TME
8,2020-12-01,TME
9,2021-03-01,TME
10,2021-06-01,TME
11,2021-09-01,TME
12,2021-12-01,TME
13,2022-03-01,TME
14,2022-06-01,TME
15,2022-09-01,TME
16,2022-12-01,TME
17,2023-03-01,TME
18,2023-06-01,TME
19,2023-09-01,TME
20,2023-11-14,TME
