Date,Ticker,5_Days_Before,4_Days_Before,3_Days_Before,2_Days_Before,1_Day_Before,Day_Of,1_Day_After
2020-05-01,NIO,2.94,3.24,3.34,3.61,3.41,3.18,3.34
2020-08-01,NIO,11.69,12.27,12.7,12.2,11.94,13.6,13.6
2020-11-01,NIO,28.44,27.51,31.99,30.58,30.58,33.32,33.32
2021-02-01,NIO,57.15,58.37,57.0,57.0,57.0,56.99,55.77
2021-05-01,NIO,42.62,41.21,41.19,38.99,39.84,39.54,39.54
2021-08-01,NIO,39.36,41.84,42.62,44.68,44.68,45.85,45.85
2021-11-01,NIO,39.31,40.79,39.41,39.41,39.41,40.84,41.3
2022-02-01,NIO,21.11,20.9,20.9,20.9,24.51,24.84,23.76
2022-05-01,NIO,16.36,16.76,16.93,16.7,16.7,17.5,17.5
2022-08-01,NIO,19.38,19.49,19.73,19.73,19.73,20.18,20.18
2022-11-01,NIO,9.98,9.69,9.69,9.69,9.67,9.71,9.49
2023-02-01,NIO,12.71,12.71,12.71,12.02,12.07,12.1,11.96
2023-05-01,NIO,7.68,7.97,7.87,7.87,7.87,7.81,7.45
2023-08-01,NIO,13.24,14.74,14.74,14.74,15.3,14.63,14.57
2023-11-01,NIO,7.44,7.44,7.44,7.52,7.3,7.45,7.79
2018-11-01,NVDA,49.57,49.57,46.4,50.75,52.71,54.53,53.73
2019-02-01,NVDA,40.04,34.5,32.9,34.35,35.94,36.18,37.29
2019-05-01,NVDA,44.52,44.52,44.52,44.83,45.25,45.12,45.8
2019-08-01,NVDA,43.77,43.77,43.71,43.86,42.18,41.23,40.3
2019-11-01,NVDA,51.13,51.7,50.73,50.75,50.26,50.65,52.62
2020-02-01,NVDA,60.05,61.99,61.38,61.45,59.11,60.08,60.08
2020-05-01,NVDA,72.4,74.27,72.84,74.61,73.07,70.69,72.82
2020-08-01,NVDA,104.21,102.15,104.65,106.14,106.15,110.1,110.1
2020-11-01,NVDA,133.97,126.27,130.24,125.34,125.34,125.81,125.81
2021-02-01,NVDA,129.18,130.51,129.9,129.9,129.9,132.37,135.57
2021-05-01,NVDA,154.78,153.82,152.77,153.25,150.1,148.37,148.37
2021-08-01,NVDA,192.08,195.03,196.62,194.99,194.99,197.5,197.5
2021-11-01,NVDA,244.51,249.41,255.67,255.67,255.67,258.27,264.01
2022-02-01,NVDA,219.44,228.4,228.4,228.4,244.86,246.38,252.42
2022-05-01,NVDA,187.88,184.15,197.82,185.47,185.47,195.33,195.33
2022-08-01,NVDA,177.9,179.84,181.63,181.63,181.63,184.41,185.26
2022-11-01,NVDA,131.76,138.34,138.34,138.34,134.97,135.43,132.19
2023-02-01,NVDA,203.65,203.65,203.65,191.62,195.37,209.43,217.09
2023-05-01,NVDA,269.56,272.26,277.49,277.49,277.49,289.1,282.1
2023-08-01,NVDA,459.0,467.5,467.5,467.5,467.29,465.07,442.69
