Date,TSLA,LU,PLTR,PLUG,F,BAC,AMD,AMZN,AAPL,CCL,SE,RIVN,NIO,NVDA,SOFI,MARA,SNAP,AAL,PFE,INTC,NU,GOOGL,DNA,LCID,TME
2022-11-11,195.97000122070312,1.8300000429153442,8.40999984741211,17.889999389648438,14.5,38.40999984741211,72.37000274658203,100.79000091552734,149.6999969482422,10.350000381469727,49.43000030517578,34.900001525878906,11.5600004196167,163.27000427246094,5.949999809265137,9.770000457763672,11.579999923706055,14.880000114440918,47.599998474121094,30.43000030517578,4.440000057220459,96.41000366210938,2.8499999046325684,12.90999984741211,4.409999847412109
2022-11-14,190.9499969482422,1.8899999856948853,8.100000381469727,17.299999237060547,14.0600004196167,37.7599983215332,73.52999877929688,98.48999786376953,148.27999877929688,10.600000381469727,45.79999923706055,34.380001068115234,11.170000076293945,162.9499969482422,5.860000133514404,9.520000457763672,11.289999961853027,14.680000305175781,49.2400016784668,30.350000381469727,4.349999904632568,95.69999694824219,2.680000066757202,12.210000038146973,4.449999809265137
2022-11-15,194.4199981689453,2.3399999141693115,8.34000015258789,17.559999465942383,14.300000190734863,37.70000076293945,76.37000274658203,98.94000244140625,150.0399932861328,11.15999984741211,62.310001373291016,35.150001525878906,11.510000228881836,166.66000366210938,5.849999904632568,9.5,11.779999732971191,14.609999656677246,48.56999969482422,30.709999084472656,4.909999847412109,98.44000244140625,2.6700000762939453,12.359999656677246,5.809999942779541
2022-11-16,186.9199981689453,1.9700000286102295,8.0600004196167,16.709999084472656,13.899999618530273,37.36000061035156,72.69999694824219,97.12000274658203,148.7899932861328,9.630000114440918,58.7599983215332,33.31999969482422,10.529999732971191,159.10000610351562,5.53000020980835,8.3100004196167,11.069999694824219,14.09000015258789,48.04999923706055,29.530000686645508,4.78000020980835,98.8499984741211,2.319999933242798,11.369999885559082,5.269999980926514
2022-11-17,183.1699981689453,2.0199999809265137,7.619999885559082,16.299999237060547,13.90999984741211,37.16999816894531,73.9000015258789,94.8499984741211,150.72000122070312,9.510000228881836,59.93000030517578,32.06999969482422,10.670000076293945,156.77000427246094,5.380000114440918,8.029999732971191,10.920000076293945,13.949999809265137,48.33000183105469,29.889999389648438,4.380000114440918,98.36000061035156,2.1500000953674316,11.460000038146973,5.960000038146973
2022-11-18,180.19000244140625,1.8799999952316284,7.389999866485596,15.84000015258789,13.989999771118164,37.189998626708984,73.56999969482422,94.13999938964844,151.2899932861328,9.470000267028809,56.939998626708984,30.34000015258789,10.470000267028809,154.08999633789062,5.179999828338623,7.46999979019165,10.520000457763672,14.050000190734863,48.22999954223633,29.8700008392334,4.320000171661377,97.43000030517578,2.190000057220459,11.260000228881836,5.579999923706055
2022-11-21,167.8699951171875,1.6799999475479126,7.190000057220459,15.1899995803833,13.949999809265137,37.310001373291016,72.45999908447266,92.45999908447266,148.00999450683594,9.319999694824219,54.09000015258789,28.420000076293945,10.020000457763672,153.1699981689453,4.869999885559082,6.190000057220459,9.960000038146973,13.850000381469727,48.18000030517578,28.940000534057617,4.309999942779541,95.5999984741211,2.0899999141693115,10.3100004196167,5.559999942779541
2022-11-22,169.91000366210938,1.6399999856948853,7.21999979019165,15.180000305175781,14.069999694824219,37.4900016784668,75.25,93.19999694824219,150.17999267578125,9.470000267028809,53.54999923706055,28.940000534057617,10.010000228881836,160.3800048828125,4.639999866485596,6.420000076293945,9.90999984741211,13.979999542236328,49.08000183105469,29.81999969482422,4.199999809265137,97.05000305175781,2.0,10.130000114440918,5.760000228881836
2022-11-23,183.1999969482422,1.75,7.369999885559082,15.479999542236328,14.029999732971191,37.61000061035156,76.4000015258789,94.12999725341797,151.07000732421875,9.729999542236328,55.630001068115234,29.709999084472656,10.5600004196167,165.19000244140625,4.659999847412109,6.480000019073486,10.319999694824219,14.420000076293945,48.849998474121094,29.670000076293945,4.440000057220459,98.45999908447266,1.9800000190734863,10.25,6.0
2022-11-25,182.86000061035156,1.399999976158142,7.28000020980835,15.729999542236328,14.079999923706055,37.70000076293945,75.13999938964844,93.41000366210938,148.11000061035156,9.729999542236328,54.31999969482422,29.530000686645508,10.170000076293945,162.6999969482422,4.599999904632568,6.21999979019165,10.180000305175781,14.5,49.209999084472656,29.34000015258789,4.449999809265137,97.45999908447266,1.9900000095367432,10.020000457763672,5.78000020980835
2022-11-28,182.9199981689453,1.409999966621399,7.159999847412109,14.920000076293945,13.729999542236328,36.86000061035156,73.19000244140625,93.94999694824219,144.22000122070312,9.319999694824219,53.45000076293945,28.639999389648438,10.119999885559082,158.27000427246094,4.449999809265137,5.980000019073486,9.84000015258789,13.829999923706055,49.56999969482422,28.729999542236328,4.21999979019165,96.05000305175781,1.840000033378601,9.850000381469727,6.21999979019165
2022-11-29,180.8300018310547,1.6100000143051147,7.079999923706055,14.899999618530273,13.75,37.0,73.38999938964844,92.41999816894531,141.1699981689453,9.75,54.2599983215332,28.850000381469727,10.5,156.38999938964844,4.559999942779541,5.889999866485596,9.819999694824219,14.140000343322754,49.4900016784668,28.899999618530273,4.260000228881836,95.19000244140625,1.850000023841858,9.760000228881836,6.599999904632568
